City_ID,City,Country,Max Temp,Description,Lat,Lng,Date,Hotel Name
3,Denpasar,ID,78.46,few clouds,-8.65,115.2167,2022-08-01 18:29:34,OYO 3156 Hotel Warta 2
4,Arraial Do Cabo,BR,78.76,clear sky,-22.9661,-42.0278,2022-08-01 18:29:34,Pousada Porto Praia
8,Sorong,ID,77.68,broken clouds,-0.8833,131.25,2022-08-01 18:29:37,Waigo Splash Hotel
10,Puerto Ayora,EC,82.36,overcast clouds,-0.7393,-90.3518,2022-08-01 18:29:38,Finch Bay Galapagos Hotel
11,Sarangani,PH,82.76,overcast clouds,5.4033,125.4636,2022-08-01 18:29:39,JVL Inn and Cafeteria
14,Hithadhoo,MV,81.27,overcast clouds,-0.6,73.0833,2022-08-01 18:29:41,Scoop Guest House
15,Nouadhibou,MR,75.18,few clouds,20.931,-17.0347,2022-08-01 18:29:41,El Medina
16,Butaritari,KI,81.12,overcast clouds,3.0707,172.7902,2022-08-01 18:29:42,Isles Sunset Lodge
20,Bubaque,GW,80.06,broken clouds,11.2833,-15.8333,2022-08-01 18:29:44,"Casa Dora, Bubaque"
25,Namatanai,PG,78.19,moderate rain,-3.6667,152.4333,2022-08-01 18:29:48,Seagulls Inn Namatani
28,Rikitea,PF,72.97,broken clouds,-23.1203,-134.9692,2022-08-01 18:29:50,People ThankYou
30,Vaini,TO,73.56,scattered clouds,-21.2,-175.2,2022-08-01 18:29:51,Keleti Beach Resort
31,Lakatoro,VU,77.23,few clouds,-16.0999,167.4164,2022-08-01 18:29:52,Lakatoro Palm Lodge
33,Jamestown,US,80.71,overcast clouds,42.097,-79.2353,2022-08-01 18:29:41,Hampton Inn & Suites Jamestown
37,Yamada,JP,73.81,overcast clouds,39.4667,141.95,2022-08-01 18:29:55,Iroha-ya Inn
39,Chapais,CA,73.18,overcast clouds,49.7834,-74.8492,2022-08-01 18:29:56,Hôtel Opémiska
41,Half Moon Bay,US,74.79,few clouds,37.4636,-122.4286,2022-08-01 18:28:54,"The Ritz-Carlton, Half Moon Bay"
44,Puerto Madero,MX,89.8,few clouds,14.7208,-92.4215,2022-08-01 18:29:59,DEPARTAMENTOS LA ESTANCIA
47,Chitrakonda,IN,76.41,overcast clouds,18.1167,82.0833,2022-08-01 18:31:56,Dantunaguda
49,Kharan,PK,92.23,clear sky,28.5833,65.4167,2022-08-01 18:31:56,Dil Aram Bangla
50,Mason City,US,80.73,clear sky,43.1536,-93.201,2022-08-01 18:30:12,Days Inn by Wyndham Mason City
51,Labuhan,ID,75.52,scattered clouds,-6.8844,112.2051,2022-08-01 18:31:57,DoubleFAG
53,Victoria,HK,87.33,scattered clouds,22.2855,114.1577,2022-08-01 18:28:21,Mini Central
54,Torbay,CA,81.37,broken clouds,47.6666,-52.7314,2022-08-01 18:31:59,Gallows Cove
55,Sai Buri,TH,77.49,heavy intensity rain,6.7013,101.6168,2022-08-01 18:31:59,สวนป่ารีสอร์ท
57,Atuona,PF,77.67,scattered clouds,-9.8,-139.0333,2022-08-01 18:31:51,Villa Enata
58,Ponta Delgada,PT,74.12,broken clouds,37.7333,-25.6667,2022-08-01 18:32:00,Vila Nova Hotel
60,Cayenne,GF,86.09,broken clouds,4.9333,-52.3333,2022-08-01 18:30:05,Hôtel Le Dronmi
61,Inirida,CO,76.21,overcast clouds,3.8653,-67.9239,2022-08-01 18:32:02,Fuente del Guania Hotel de Lujo
65,Hilo,US,75.61,overcast clouds,19.7297,-155.09,2022-08-01 18:29:32,Hilo Hawaiian Hotel
66,Jabinyanah,TN,85.8,few clouds,35.035,10.9081,2022-08-01 18:32:05,maison belmabrouk
68,Faanui,PF,77.88,scattered clouds,-16.4833,-151.75,2022-08-01 18:32:06,Bora-Bora Pearl Beach Resort & Spa
69,Kapaa,US,79.12,moderate rain,22.0752,-159.319,2022-08-01 18:32:07,Sheraton Kauai Coconut Beach Resort
71,Rayachoti,IN,76.05,overcast clouds,14.05,78.75,2022-08-01 18:32:08,ANNAMAYYA FAMILY RESTAURANT
74,Sola,VU,80.6,few clouds,-13.8833,167.55,2022-08-01 18:32:10,Leumerus Bungalows
75,Meulaboh,ID,78.57,overcast clouds,4.1363,96.1285,2022-08-01 18:32:11,Kost Pria
76,Shingu,JP,76.77,overcast clouds,33.7333,135.9833,2022-08-01 18:32:12,Shingu UI Hotel
77,Brownsville,US,94.01,few clouds,25.9018,-97.4975,2022-08-01 18:30:29,Best Western Hotel Plaza Matamoros
78,Bud,US,83.05,scattered clouds,39.447,-86.1758,2022-08-01 18:32:12,Ted McQuinn Trust
79,Hanna,CA,74.86,scattered clouds,51.6334,-111.9018,2022-08-01 18:32:13,West View Motel
80,Bangkalan,ID,80.55,moderate rain,-7.0455,112.7351,2022-08-01 18:32:14,SPOT ON 2591 Griya Demangan Syariah
83,Arrecife,ES,78.78,few clouds,28.963,-13.5477,2022-08-01 18:32:15,Hotel Lancelot
87,Buctzotz,MX,97.21,broken clouds,21.2,-88.7833,2022-08-01 18:32:18,Buctoztz
88,Corbelia,BR,79.95,broken clouds,-24.7989,-53.3067,2022-08-01 18:32:18,Hotel Peroza
89,Itarema,BR,82.81,few clouds,-2.9248,-39.9167,2022-08-01 18:32:19,"Sea Lounge! Bar, Club & Restaurant"
92,Avarua,CK,75.25,scattered clouds,-21.2078,-159.775,2022-08-01 18:33:21,Paradise Inn
93,Lompoc,US,93.02,clear sky,34.6391,-120.4579,2022-08-01 18:32:07,"Holiday Inn Express Lompoc, an IHG Hotel"
94,Mao,ES,86.56,clear sky,39.8885,4.2658,2022-08-01 18:33:22,ARTIEM Capri
101,Teahupoo,PF,73.36,few clouds,-17.8333,-149.2667,2022-08-01 18:33:26,Vanira Lodge
104,Shimoda,JP,80.1,overcast clouds,34.6667,138.95,2022-08-01 18:33:27,Shimoda Tokyu Hotel
105,Kant,IN,87.01,broken clouds,27.8,79.8,2022-08-01 18:33:28,Sumit Verma
107,Port Hedland,AU,71.65,scattered clouds,-20.3167,118.5667,2022-08-01 18:33:29,The Esplanade Hotel
113,Ribeira Grande,PT,77.4,scattered clouds,38.5167,-28.7,2022-08-01 18:33:32,Quinta da Meia Eira
114,Riviere-Du-Loup,CA,75.47,broken clouds,47.8304,-69.5342,2022-08-01 18:33:33,Hôtel Universel
115,Neiafu,TO,77.68,broken clouds,-18.65,-173.9833,2022-08-01 18:33:34,Mystic Sands Beachfront Accommodation
116,Challapalle,IN,83.28,overcast clouds,16.1167,80.9333,2022-08-01 18:33:34,RS food court
117,Champerico,GT,91.94,broken clouds,14.3,-91.9167,2022-08-01 18:33:34,"Hotel y restaurante ""El Diamante"""
