City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date,Description
0,Preeceville,51.95,-102.6677,67.01,45,90,6.8,CA,2022-08-01 18:29:33,overcast clouds
1,Albany,42.6001,-73.9662,86.63,48,32,1.99,US,2022-08-01 18:24:49,scattered clouds
2,Leningradskiy,69.3833,178.4167,46.69,74,45,5.57,RU,2022-08-01 18:29:34,scattered clouds
3,Denpasar,-8.65,115.2167,78.46,94,20,9.22,ID,2022-08-01 18:29:34,few clouds
4,Arraial Do Cabo,-22.9661,-42.0278,78.76,69,0,16.11,BR,2022-08-01 18:29:34,clear sky
5,Busselton,-33.65,115.3333,52.74,79,91,36.64,AU,2022-08-01 18:29:35,light rain
6,Yulara,-25.2406,130.9889,63.48,30,96,4.41,AU,2022-08-01 18:29:36,overcast clouds
7,Lebu,-37.6167,-73.65,50.79,68,7,10.69,CL,2022-08-01 18:29:37,clear sky
8,Sorong,-0.8833,131.25,77.68,84,75,3.74,ID,2022-08-01 18:29:37,broken clouds
9,Tiksi,71.6872,128.8694,40.55,92,99,3.65,RU,2022-08-01 18:29:38,overcast clouds
10,Puerto Ayora,-0.7393,-90.3518,82.36,90,96,11.01,EC,2022-08-01 18:29:38,overcast clouds
11,Sarangani,5.4033,125.4636,82.76,73,94,8.77,PH,2022-08-01 18:29:39,overcast clouds
12,Rocha,-34.4833,-54.3333,59.58,70,70,6.53,UY,2022-08-01 18:29:40,broken clouds
13,Mar Del Plata,-38.0023,-57.5575,60.82,85,0,8.01,AR,2022-08-01 18:26:47,clear sky
14,Hithadhoo,-0.6,73.0833,81.27,68,98,14.12,MV,2022-08-01 18:29:41,overcast clouds
15,Nouadhibou,20.931,-17.0347,75.18,83,20,13.8,MR,2022-08-01 18:29:41,few clouds
16,Butaritari,3.0707,172.7902,81.12,78,96,13.82,KI,2022-08-01 18:29:42,overcast clouds
17,Hobart,-42.8794,147.3294,46.26,79,57,19.57,AU,2022-08-01 18:29:43,broken clouds
18,Chokurdakh,70.6333,147.9167,49.06,89,99,9.46,RU,2022-08-01 18:29:43,overcast clouds
19,Ushuaia,-54.8,-68.3,46.02,81,20,6.91,AR,2022-08-01 18:26:29,few clouds
20,Bubaque,11.2833,-15.8333,80.06,79,81,17.58,GW,2022-08-01 18:29:44,broken clouds
21,Alofi,-19.0595,-169.9187,64.29,94,40,3.44,NU,2022-08-01 18:29:45,scattered clouds
22,Saint-Philippe,-21.3585,55.7679,67.59,72,30,2.95,RE,2022-08-01 18:29:46,scattered clouds
23,East London,-33.0153,27.9116,56.34,71,0,5.75,ZA,2022-08-01 18:29:47,clear sky
24,Mahanoro,-19.9,48.8,67.24,86,2,0.4,MG,2022-08-01 18:29:47,clear sky
25,Namatanai,-3.6667,152.4333,78.19,84,100,8.9,PG,2022-08-01 18:29:48,moderate rain
26,Geraldton,-28.7667,114.6,59.41,77,75,20.71,AU,2022-08-01 18:29:48,light intensity shower rain
27,Hermanus,-34.4187,19.2345,49.8,74,0,10.94,ZA,2022-08-01 18:29:49,clear sky
28,Rikitea,-23.1203,-134.9692,72.97,71,65,23.85,PF,2022-08-01 18:29:50,broken clouds
29,Yurginskoye,56.8189,67.3921,56.28,82,99,5.44,RU,2022-08-01 18:29:50,overcast clouds
30,Vaini,-21.2,-175.2,73.56,100,40,0.0,TO,2022-08-01 18:29:51,scattered clouds
31,Lakatoro,-16.0999,167.4164,77.23,85,20,8.01,VU,2022-08-01 18:29:52,few clouds
32,Mataura,-46.1927,168.8643,44.22,82,56,5.73,NZ,2022-08-01 18:29:53,broken clouds
33,Jamestown,42.097,-79.2353,80.71,59,100,13.8,US,2022-08-01 18:29:41,overcast clouds
34,Carnarvon,-24.8667,113.6333,67.48,69,83,24.2,AU,2022-08-01 18:29:54,broken clouds
35,Bredasdorp,-34.5322,20.0403,46.45,84,0,3.85,ZA,2022-08-01 18:29:54,clear sky
36,Fortuna,40.5982,-124.1573,66.92,79,100,5.75,US,2022-08-01 18:29:44,overcast clouds
37,Yamada,39.4667,141.95,73.81,97,100,7.87,JP,2022-08-01 18:29:55,overcast clouds
38,Punta Arenas,-53.15,-70.9167,48.31,66,75,27.63,CL,2022-08-01 18:28:47,broken clouds
39,Chapais,49.7834,-74.8492,73.18,42,100,14.03,CA,2022-08-01 18:29:56,overcast clouds
