City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Rikitea,PF,2022-07-26 01:10:53,-23.1203,-134.9692,75.61,74,73,12.68
1,Carira,BR,2022-07-26 01:09:10,-10.3608,-37.7011,64.0,95,78,5.17
2,Berlevag,NO,2022-07-26 01:10:54,70.8578,29.0864,55.4,87,100,4.61
3,Palana,RU,2022-07-26 01:10:54,59.1167,159.9667,53.01,66,10,8.01
4,Vitoria Do Mearim,BR,2022-07-26 01:10:54,-3.4622,-44.8706,76.73,74,99,2.57
5,Avarua,CK,2022-07-26 01:10:55,-21.2078,-159.775,71.65,64,40,5.75
6,Kavaratti,IN,2022-07-26 01:10:55,10.5669,72.642,81.45,74,43,16.51
7,Viedma,AR,2022-07-26 01:10:55,-40.8135,-62.9967,47.62,94,100,7.49
8,Hithadhoo,MV,2022-07-26 01:10:55,-0.6,73.0833,82.65,75,41,12.39
9,Ushuaia,AR,2022-07-26 01:10:56,-54.8,-68.3,35.26,75,40,23.02
10,Nikolskoye,RU,2022-07-26 01:10:56,59.7035,30.7861,60.87,92,73,2.08
11,Belyy Yar,RU,2022-07-26 01:10:56,53.6039,91.3903,58.86,88,75,0.0
12,Faya,SA,2022-07-26 01:10:57,18.3851,42.4509,61.32,54,100,7.09
13,Bethel,US,2022-07-26 01:10:57,41.3712,-73.414,80.69,86,0,3.44
14,Umm Lajj,SA,2022-07-26 01:10:57,25.0213,37.2685,83.61,66,100,6.44
15,Lata,PT,2022-07-26 01:10:57,40.1629,-8.3327,58.87,97,6,1.95
16,Praia Da Vitoria,PT,2022-07-26 01:10:58,38.7333,-27.0667,75.76,93,3,2.35
17,Rudsar,IR,2022-07-26 01:10:58,37.1376,50.288,74.19,86,66,2.33
18,Biltine,TD,2022-07-26 01:10:58,14.5333,20.9167,86.4,52,31,7.99
19,Kavieng,PG,2022-07-26 01:10:59,-2.5744,150.7967,83.82,74,41,16.08
20,Busselton,AU,2022-07-26 01:10:59,-33.65,115.3333,61.72,77,100,19.44
21,Atuona,PF,2022-07-26 01:10:59,-9.8,-139.0333,77.77,66,0,10.36
22,Havre-Saint-Pierre,CA,2022-07-26 01:10:59,50.2334,-63.5986,64.76,94,100,9.22
23,Sitka,US,2022-07-26 01:11:00,57.0531,-135.33,57.09,94,100,0.0
24,Huallanca,PE,2022-07-26 01:11:00,-9.8993,-76.9417,48.06,82,100,4.18
25,Salalah,OM,2022-07-26 01:11:00,17.0151,54.0924,75.29,100,100,6.91
26,Kudahuvadhoo,MV,2022-07-26 01:11:00,2.6708,72.8944,79.14,82,100,15.93
27,Banda Aceh,ID,2022-07-26 01:11:01,5.5577,95.3222,79.16,80,100,6.58
28,Lowestoft,GB,2022-07-26 01:11:01,52.4752,1.7516,60.46,83,84,12.86
29,Kapaa,US,2022-07-26 01:11:01,22.0752,-159.319,84.18,68,40,14.97
30,Namatanai,PG,2022-07-26 01:11:02,-3.6667,152.4333,82.51,76,34,8.43
31,Entre Rios,BR,2022-07-26 01:11:02,-11.9419,-38.0844,65.59,97,94,3.06
32,Mataura,NZ,2022-07-26 01:11:02,-46.1927,168.8643,46.47,96,100,11.07
33,Lompoc,US,2022-07-26 01:08:16,34.6391,-120.4579,80.02,61,0,11.5
34,Kodiak,US,2022-07-26 01:08:41,57.79,-152.4072,62.11,59,75,13.8
35,Ivaipora,BR,2022-07-26 01:11:03,-24.2478,-51.6847,63.3,66,6,3.89
36,Halifax,CA,2022-07-26 01:07:55,44.6453,-63.5724,67.69,95,100,11.01
37,Rawson,AR,2022-07-26 01:11:03,-43.3002,-65.1023,45.18,94,100,7.18
38,Ngunguru,NZ,2022-07-26 01:11:03,-35.6167,174.5,59.79,76,31,19.69
39,Saskylakh,RU,2022-07-26 01:11:03,71.9167,114.0833,71.85,67,92,6.91
40,Shihezi,CN,2022-07-26 01:11:04,44.3,86.0333,79.2,19,0,5.91
41,Jamestown,US,2022-07-26 01:11:04,42.097,-79.2353,67.59,73,0,3.44
42,Omsukchan,RU,2022-07-26 01:11:04,62.5333,155.8,69.6,33,91,9.08
43,Upernavik,GL,2022-07-26 01:11:05,72.7868,-56.1549,39.16,89,73,9.86
44,Cabo San Lucas,MX,2022-07-26 01:06:22,22.8909,-109.9124,92.5,70,0,19.57
45,Cape Town,ZA,2022-07-26 01:07:38,-33.9258,18.4232,58.37,62,0,5.99
46,Tasiilaq,GL,2022-07-26 01:11:05,65.6145,-37.6368,39.38,89,100,2.21
47,Torbay,CA,2022-07-26 01:12:06,47.6666,-52.7314,68.76,89,53,18.03
48,Moquegua,PE,2022-07-26 01:12:06,-17.1956,-70.9353,60.55,48,3,0.43
49,Carnarvon,AU,2022-07-26 01:12:06,-24.8667,113.6333,63.1,39,0,8.08
50,Punta Arenas,CL,2022-07-26 01:10:32,-53.15,-70.9167,30.31,74,20,10.36
51,Igboho,NG,2022-07-26 01:12:06,8.8333,3.75,70.75,98,100,5.59
52,Tuktoyaktuk,CA,2022-07-26 01:12:07,69.4541,-133.0374,62.6,67,75,19.57
53,Hermanus,ZA,2022-07-26 01:12:07,-34.4187,19.2345,47.8,53,0,8.39
54,Hay River,CA,2022-07-26 01:09:14,60.8156,-115.7999,67.59,41,100,4.45
55,Steenbergen,NL,2022-07-26 01:12:07,51.5842,4.3194,66.97,85,100,5.75
56,Leningradskiy,RU,2022-07-26 01:12:08,69.3833,178.4167,34.66,89,98,5.75
57,Albany,US,2022-07-26 01:09:23,42.6001,-73.9662,74.35,64,0,9.78
58,Luderitz,NA,2022-07-26 01:12:08,-26.6481,15.1594,55.17,84,35,11.81
59,Codo,BR,2022-07-26 01:08:55,-4.4553,-43.8856,77.56,55,42,0.96
60,Ribeira Grande,PT,2022-07-26 01:12:08,38.5167,-28.7,74.52,89,10,5.06
61,Saint George,US,2022-07-26 01:09:49,37.1041,-113.5841,70.39,88,75,9.22
62,Ust-Ishim,RU,2022-07-26 01:12:09,57.6935,71.1665,64.49,96,89,3.94
63,Port Alfred,ZA,2022-07-26 01:12:09,-33.5906,26.891,52.18,83,0,1.01
64,Port Hardy,CA,2022-07-26 01:12:09,50.6996,-127.4199,69.98,68,20,13.8
65,Pierre,US,2022-07-26 01:12:10,44.3683,-100.351,77.05,60,0,9.22
66,Morro Bay,US,2022-07-26 01:07:41,35.3658,-120.8499,83.93,67,13,3.0
67,Changping,CN,2022-07-26 01:12:10,40.2186,116.2197,83.84,59,94,5.59
68,Galle,LK,2022-07-26 01:09:31,6.0367,80.217,78.48,85,100,10.92
69,Saint-Philippe,RE,2022-07-26 01:12:10,-21.3585,55.7679,65.79,83,58,10.76
70,Hasaki,JP,2022-07-26 01:08:11,35.7333,140.8333,79.2,83,100,19.37
71,Monrovia,LR,2022-07-26 01:08:19,6.3005,-10.7969,74.28,76,2,5.21
72,Bambous Virieux,MU,2022-07-26 01:12:10,-20.3428,57.7575,67.21,88,40,3.44
73,Barrow,US,2022-07-26 01:12:11,71.2906,-156.7887,37.42,87,100,29.93
74,Vaini,TO,2022-07-26 01:12:11,-21.2,-175.2,78.96,83,20,9.22
75,Butaritari,KI,2022-07-26 01:12:11,3.0707,172.7902,82.62,69,98,15.66
76,Itarema,BR,2022-07-26 01:12:12,-2.9248,-39.9167,77.38,77,64,12.64
77,Bathsheba,BB,2022-07-26 01:12:12,13.2167,-59.5167,81.21,95,40,14.97
78,Khatanga,RU,2022-07-26 01:12:12,71.9667,102.5,73.74,39,0,6.33
79,Arraial Do Cabo,BR,2022-07-26 01:12:13,-22.9661,-42.0278,70.65,88,6,19.48
80,Belozerskoye,RU,2022-07-26 01:12:13,55.8214,65.5842,66.6,83,100,2.57
81,Kristiinankaupunki,FI,2022-07-26 01:12:13,62.2743,21.376,62.28,95,100,16.71
82,Faanui,PF,2022-07-26 01:12:14,-16.4833,-151.75,77.77,75,76,10.4
83,Hammerfest,NO,2022-07-26 01:12:14,70.6634,23.6821,57.65,82,75,9.22
